,timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
0,1532784600,Jul 28 2018 - 1:30pm,complete,15194.0,Ural,Anzhi Makhachkala,,0.0,0.0,1.33,0.73,0,1,1,0,0,0,,83,7,0,1,0,4,0,0,1,2,2,20,3,8,2,12,1,16,17,65,35,2.63,0.57,0.0,0,0,0,0,0,0,0,0.0,0.0,1.56,3.8,6.2,1.39,2.2,4.1,0.0,2.3,1.61,Ekaterinburg Arena
1,1532793600,Jul 28 2018 - 4:00pm,complete,36672.0,Spartak Moskva,Orenburg,,0.0,0.0,1.6,1.2,1,0,1,1,1,0,4,,3,1,0,0,3,0,0,0,3,0,15,6,5,3,10,3,7,11,65,35,1.91,0.88,0.0,0,0,0,0,0,0,0,0.0,0.0,1.38,4.45,8.25,1.29,1.91,3.3,0.0,2.2,1.67,Otkrytiye Arena
2,1532802600,Jul 28 2018 - 6:30pm,complete,27975.0,Rostov,Akhmat Grozny,,0.0,0.0,1.6,1.33,1,0,1,1,1,0,45'1,,2,4,0,0,0,1,0,0,1,0,14,3,3,0,11,3,6,7,60,40,1.78,0.71,0.0,0,0,0,0,0,0,0,0.0,0.0,2.25,2.95,3.55,1.61,2.9,5.95,0.0,2.45,1.56,Rostov Arena
3,1532862000,Jul 29 2018 - 11:00am,complete,10724.0,Yenisey,Zenit,,0.0,0.0,1.07,1.6,0,2,2,0,0,0,,"81,85",2,6,2,0,2,0,1,1,2,0,5,18,2,7,3,11,15,13,37,63,0.73,2.24,0.0,0,0,0,0,0,0,0,0.0,0.0,7.25,3.8,1.5,1.36,2.1,3.9,0.0,2.35,1.59,Stadion Geolog
4,1532871000,Jul 29 2018 - 1:30pm,complete,15646.0,Arsenal Tula,Dinamo Moskva,,0.0,0.0,1.93,0.8,0,0,0,0,0,0,,,4,1,3,0,1,1,1,2,1,1,11,9,5,5,6,4,18,20,63,37,1.48,1.18,0.0,0,0,0,0,0,0,0,0.0,0.0,2.7,3.05,2.75,1.49,2.5,4.9,0.0,2.15,1.69,Stadion Arsenal
5,1532880000,Jul 29 2018 - 4:00pm,complete,13884.0,Rubin Kazan,Krasnodar,,0.0,0.0,1.67,1.73,2,1,3,3,2,1,"9,38",31,3,3,1,0,1,0,1,0,1,0,9,9,5,2,4,7,11,9,43,57,1.12,0.95,0.0,0,0,0,0,0,0,0,0.0,0.0,2.75,2.95,2.75,1.56,2.7,5.5,0.0,2.3,1.62,Kazan' Arena
6,1532962800,Jul 30 2018 - 3:00pm,complete,8368.0,Ufa,Lokomotiv Moskva,,0.0,0.0,1.13,1.6,0,0,0,0,0,0,,,8,5,3,0,0,0,0,3,0,0,11,10,5,4,6,6,18,7,53,47,1.5,1.23,0.0,0,0,0,0,0,0,0,0.0,0.0,4.0,2.95,2.1,1.67,3.05,6.35,0.0,2.65,1.49,Stadion Neftyanik (Ufa)
7,1533052800,Jul 31 2018 - 4:00pm,complete,39137.0,Krylya Sovetov,CSKA Moskva,,0.0,0.0,1.13,1.6,0,0,0,0,0,0,,,2,4,2,0,1,0,1,1,0,1,10,17,3,5,7,12,10,15,48,52,1.1,1.81,0.0,0,0,0,0,0,0,0,0.0,0.0,3.75,2.95,2.15,1.51,2.6,5.2,0.0,2.3,1.61,Samara Arena
8,1533313800,Aug 03 2018 - 4:30pm,complete,,Dinamo Moskva,Rubin Kazan,,0.0,0.0,1.4,0.73,1,1,2,1,1,0,14,51,4,4,3,0,0,0,2,1,0,0,14,12,5,6,9,6,18,8,43,57,1.39,1.42,0.0,0,0,0,0,0,0,0,0.0,0.0,2.75,2.75,3.0,1.71,3.25,6.95,0.0,2.65,1.49,Arena Khimki
9,1533380400,Aug 04 2018 - 11:00am,complete,20326.0,Ural,Krasnodar,,0.0,0.0,1.33,1.73,1,2,3,1,1,0,6,"48,89",3,7,2,0,3,0,1,1,1,2,12,13,7,6,5,7,16,17,44,56,1.5,1.64,2.0,50,50,50,0,0,50,50,10.0,2.0,3.35,3.05,2.3,1.37,2.15,3.95,0.0,1.95,1.83,Ekaterinburg Arena
