,trump,clinton,taxes,immigration,james comey,gun,trumpWinner
CT,87,92,58,78,59,58,False
CA,73,65,45,73,43,59,False
TN,71,79,59,36,32,89,True
GA,69,67,47,52,35,79,True
OH,78,79,51,49,35,71,True
NC,82,86,53,48,34,81,True
ND,70,78,50,59,27,95,True
LA,63,68,49,38,33,75,True
MS,58,87,45,50,21,81,True
NY,91,88,58,90,56,52,False
MD,81,81,66,75,55,61,False
AL,68,73,49,53,26,81,True
WA,79,71,52,63,47,63,False
KY,73,77,64,35,34,98,True
NE,67,73,50,70,39,71,True
AK,73,62,66,65,61,94,True
MA,90,86,48,79,45,50,False
NM,79,67,60,79,51,71,False
CO,77,70,48,51,40,70,False
WY,70,66,48,75,42,100,True
DE,83,78,61,67,100,76,False
IL,68,67,52,64,39,58,False
HI,61,64,39,47,35,60,False
VT,92,80,100,58,90,84,False
KS,66,69,45,42,22,68,True
IA,72,89,40,68,34,81,True
FL,89,83,62,64,45,68,True
AR,70,78,55,60,37,82,True
OK,64,74,53,47,63,85,True
UT,60,66,49,70,38,95,True
AZ,76,76,46,57,37,65,True
ID,62,61,40,52,21,86,True
VA,77,73,60,83,50,68,False
WV,82,80,57,21,50,95,True
TX,63,64,51,69,28,73,True
DC,100,100,69,100,70,63,False
MN,87,75,53,61,51,77,False
WI,74,70,49,56,29,73,True
